"city","ID","Created Date","Updated Date","Owner","states","Specialization","Language"
"Faridabad, Haryana","770340bb-75e0-4706-9157-772b651724f6",2023-07-20T10:40:18Z,2023-07-20T10:40:18Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Bhubaneshwar, Odisha","77132683-5b07-41b5-8d34-9c4397b95d65",2023-07-20T10:40:21Z,2023-07-20T10:40:21Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Longleng, Nagaland","7713b3b4-15bf-417d-b73d-d8c355126a4b",2023-07-20T10:40:21Z,2023-07-20T10:40:21Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"East Jaintia Hills, Meghalaya","776918f4-f652-4d03-8f30-8d03b45cb0cc",2023-07-20T10:40:20Z,2023-07-20T10:40:20Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Chamba, Himachal Pradesh","77c66c78-52be-46a8-9bcf-74a8c763d4b5",2023-07-20T10:40:18Z,2023-07-20T10:40:18Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Vikarabad, Telangana","77cff375-2055-4cfd-9c92-ef40ae27e96c",2023-07-20T10:40:22Z,2023-07-20T10:40:22Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Pratapgarh, Uttar Pradesh","77d67dee-a148-4bd6-859f-072c79ec6441",2023-07-20T10:40:22Z,2023-07-20T10:40:22Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Kolkata, West Bengal","77e709bd-f2d3-4af6-ae4b-e9e63ecab377",2023-07-20T10:40:23Z,2023-07-20T10:40:23Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Muzaffarnagar, Uttar Pradesh","7827d72e-dbbf-4664-8692-b4ade85caea1",2023-07-20T10:40:22Z,2023-07-20T10:40:22Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Sivaganga, Tamil Nadu","78446004-f383-463f-8e95-2e375e9c7f0d",2023-07-20T10:40:22Z,2023-07-20T10:40:22Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
