"ID","Created Date","Updated Date","Owner","courts","Publish Date","Unpublish Date","Status"
"02cd8ad0-05c4-40af-a5bc-5fc2a2cb3c49",2023-07-19T08:58:55Z,2023-07-19T08:58:55Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Court Complex - Holalkere - Karnataka - India",2023-07-19T08:58:55Z,,"PUBLISHED"
"02d639ad-d7e9-487a-8868-427b445fb292",2023-07-19T08:58:57Z,2023-07-19T08:58:57Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Court of Junior Civil Judge, Vinukonda (Taluka) - Andhra Pradesh - India",2023-07-19T08:58:57Z,,"PUBLISHED"
"02d83021-24a8-4821-8459-0cc79e5d9de7",2023-07-19T08:59:08Z,2023-07-19T08:59:08Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Karkardooma Court - Delhi (NCT) - India",2023-07-19T08:59:08Z,,"PUBLISHED"
"02dc01ae-9dbb-4b54-8af1-fec1e1b4d8ac",2023-07-19T08:59:00Z,2023-07-19T08:59:00Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","District Court, Ghumarwin - Himachal Pradesh - India",2023-07-19T08:59:00Z,,"PUBLISHED"
"030c28d5-bccf-4603-95c8-c3ff494901cc",2023-07-19T08:58:55Z,2023-07-19T08:58:55Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Combined Courts, Salem - Tamil Nadu - India",2023-07-19T08:58:55Z,,"PUBLISHED"
"03131489-a324-46e5-9ccb-794163c010ad",2023-07-19T08:59:17Z,2023-07-19T08:59:17Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","SDJM, Kanchanpur - Tripura - India",2023-07-19T08:59:17Z,,"PUBLISHED"
"031bc307-8a80-44df-b1f0-e735ad8182ff",2023-07-19T08:59:17Z,2023-07-19T08:59:17Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","SDJM, Gohpur - Assam - India",2023-07-19T08:59:17Z,,"PUBLISHED"
"031db283-3ab3-44fe-b349-18bf4bcd1c05",2023-07-19T08:59:00Z,2023-07-19T08:59:00Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","District Court, Aizawl - Mizoram - India",2023-07-19T08:59:00Z,,"PUBLISHED"
"03604407-bd45-4f7c-aa41-541fb53c781b",2023-07-19T08:58:59Z,2023-07-19T08:58:59Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","DISTRICT AND CIVIL COURT, TAPI - Gujarat - India",2023-07-19T08:58:59Z,,"PUBLISHED"
"037780c7-68f1-4144-9ce7-5380c725f10b",2023-07-19T08:58:48Z,2023-07-19T08:58:48Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Bagpat District Court Complex - Uttar Pradesh - India",2023-07-19T08:58:48Z,,"PUBLISHED"
"0380ed42-3b14-4d1a-9871-fe0082f5cd76",2023-07-19T08:58:57Z,2023-07-19T08:58:57Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Court of Junior Civil Judge, Sidhout (Taluka) - Andhra Pradesh - India",2023-07-19T08:58:57Z,,"PUBLISHED"
